source_segment,mapped_segment,xi,frequency_thz,omega_radps,x_plot
gamma_a,gamma_l,0.05,0.83,5.215043804959056,0.0651484
gamma_a,gamma_l,0.05,1.24,7.791149780902687,0.0651484
gamma_a,gamma_l,0.05,11.18,70.24601173426777,0.0651484
gamma_a,gamma_l,0.05,13.34,83.81769199777568,0.0651484
gamma_a,gamma_l,0.05,9.17,57.6168092668368,0.0651484
gamma_a,gamma_l,0.05,11.37,71.4398169426319,0.0651484
gamma_a,gamma_l,0.05,13.26,83.31503717320132,0.0651484
gamma_a,gamma_l,0.05,14.3,89.8495498926681,0.0651484
gamma_a,gamma_l,0.1,1.58,9.927432785343747,0.1302968
gamma_a,gamma_l,0.1,3.11,19.540706305328513,0.1302968
gamma_a,gamma_l,0.1,11.03,69.30353393819084,0.1302968
gamma_a,gamma_l,0.1,11.39,71.56548064877549,0.1302968
gamma_a,gamma_l,0.1,11.99,75.33539183308324,0.1302968
gamma_a,gamma_l,0.1,13.0,81.68140899333463,0.1302968
gamma_a,gamma_l,0.1,14.1,88.59291283123217,0.1302968
gamma_a,gamma_l,0.1,14.63,91.92300104403735,0.1302968
gamma_a,gamma_l,0.1,17.21,108.13361913656068,0.1302968
gamma_a,gamma_l,0.1,17.25,108.38494654884786,0.1302968
gamma_a,gamma_l,0.1,18.49,116.17609632975054,0.1302968
gamma_a,gamma_l,0.1,19.4,121.89379495928397,0.1302968
gamma_a,gamma_l,0.1,22.47,141.1831738523253,0.1302968
gamma_a,gamma_l,0.1,26.33,165.43626913803848,0.1302968
gamma_a,gamma_l,0.1,1.54,9.676105373056563,0.1302968
gamma_a,gamma_l,0.1,9.08,57.05132258919064,0.1302968
gamma_a,gamma_l,0.1,10.64,66.8530916683908,0.1302968
gamma_a,gamma_l,0.1,11.28,70.87433026498573,0.1302968
gamma_a,gamma_l,0.1,12.83,80.61326749111409,0.1302968
gamma_a,gamma_l,0.1,13.67,85.89114314914494,0.1302968
gamma_a,gamma_l,0.1,14.71,92.42565586861171,0.1302968
gamma_a,gamma_l,0.1,15.77,99.08583229422207,0.1302968
gamma_a,gamma_l,0.1,17.07,107.25397319355554,0.1302968
gamma_a,gamma_l,0.1,17.3,108.69910581420685,0.1302968
gamma_a,gamma_l,0.1,17.37,109.13892878570942,0.1302968
gamma_a,gamma_l,0.1,19.15,120.32299863248906,0.1302968
gamma_a,gamma_l,0.1,20.66,129.81060844633026,0.1302968
gamma_a,gamma_l,0.1,22.27,139.92653679088937,0.1302968
gamma_a,gamma_l,0.1,22.39,140.68051902775093,0.1302968
gamma_a,gamma_l,0.15,2.38,14.953981031087414,0.19544519999999999
gamma_a,gamma_l,0.15,4.42,27.77167905773377,0.19544519999999999
gamma_a,gamma_l,0.15,2.31,14.514158059584844,0.19544519999999999
gamma_a,gamma_l,0.15,8.94,56.171676646185496,0.19544519999999999
gamma_a,gamma_l,0.2,3.1,19.477874452256717,0.2605936
gamma_a,gamma_l,0.2,5.72,35.93981995706723,0.2605936
gamma_a,gamma_l,0.2,10.18,63.96282642708819,0.2605936
gamma_a,gamma_l,0.2,11.22,70.49733914655496,0.2605936
gamma_a,gamma_l,0.2,11.67,73.32477253478577,0.2605936
gamma_a,gamma_l,0.2,12.6,79.16813487046278,0.2605936
gamma_a,gamma_l,0.2,13.17,82.74955049555516,0.2605936
gamma_a,gamma_l,0.2,14.04,88.21592171280139,0.2605936
gamma_a,gamma_l,0.2,15.05,94.56193887305278,0.2605936
gamma_a,gamma_l,0.2,17.11,107.50530060584272,0.2605936
gamma_a,gamma_l,0.2,17.58,110.45839770021712,0.2605936
gamma_a,gamma_l,0.2,18.17,114.1654770314531,0.2605936
gamma_a,gamma_l,0.2,19.68,123.65308684529425,0.2605936
gamma_a,gamma_l,0.2,22.59,141.93715608918686,0.2605936
gamma_a,gamma_l,0.2,26.04,163.61414539895642,0.2605936
gamma_a,gamma_l,0.2,3.11,19.540706305328513,0.2605936
gamma_a,gamma_l,0.2,8.75,54.97787143782138,0.2605936
gamma_a,gamma_l,0.2,9.75,61.261056745000964,0.2605936
gamma_a,gamma_l,0.2,11.25,70.68583470577035,0.2605936
gamma_a,gamma_l,0.2,12.62,79.29379857660638,0.2605936
gamma_a,gamma_l,0.2,14.11,88.65574468430395,0.2605936
gamma_a,gamma_l,0.2,14.56,91.48317807253478,0.2605936
gamma_a,gamma_l,0.2,15.8,99.27432785343747,0.2605936
gamma_a,gamma_l,0.2,16.44,103.29556645003241,0.2605936
gamma_a,gamma_l,0.2,16.95,106.49999095669398,0.2605936
gamma_a,gamma_l,0.2,17.57,110.39556584714533,0.2605936
gamma_a,gamma_l,0.2,19.25,120.95131716320704,0.2605936
gamma_a,gamma_l,0.2,20.46,128.55397138489434,0.2605936
gamma_a,gamma_l,0.2,22.3,140.11503235010477,0.2605936
gamma_a,gamma_l,0.2,22.67,142.43981091376122,0.2605936
gamma_a,gamma_l,0.25,3.81,23.938936020354223,0.325742
gamma_a,gamma_l,0.25,7.0,43.982297150257104,0.325742
gamma_a,gamma_l,0.25,9.85,61.88937527571892,0.325742
gamma_a,gamma_l,0.25,3.8,23.876104167282428,0.325742
gamma_a,gamma_l,0.25,8.54,53.65840252331366,0.325742
gamma_a,gamma_l,0.25,9.54,59.94158783049325,0.325742
gamma_a,gamma_l,0.3,4.49,28.211502029236343,0.39089039999999997
gamma_a,gamma_l,0.3,8.2,51.5221195188726,0.39089039999999997
gamma_a,gamma_l,0.3,9.6,60.31857894892403,0.39089039999999997
gamma_a,gamma_l,0.3,10.82,67.98406502368313,0.39089039999999997
gamma_a,gamma_l,0.3,11.43,71.81680806106267,0.39089039999999997
gamma_a,gamma_l,0.3,12.58,79.0424711643192,0.39089039999999997
gamma_a,gamma_l,0.3,13.01,81.74424084640641,0.39089039999999997
gamma_a,gamma_l,0.3,14.21,89.28406321502193,0.39089039999999997
gamma_a,gamma_l,0.3,15.71,98.7088411757913,0.39089039999999997
gamma_a,gamma_l,0.3,16.78,105.43184945447346,0.39089039999999997
gamma_a,gamma_l,0.3,17.34,108.95043322649403,0.39089039999999997
gamma_a,gamma_l,0.3,18.52,116.36459188896593,0.39089039999999997
gamma_a,gamma_l,0.3,20.06,126.04069726202249,0.39089039999999997
gamma_a,gamma_l,0.3,22.63,142.18848350147402,0.39089039999999997
gamma_a,gamma_l,0.3,25.58,160.7238801576538,0.39089039999999997
gamma_a,gamma_l,0.3,4.54,28.52566129459532,0.39089039999999997
gamma_a,gamma_l,0.3,8.37,52.590261021093134,0.39089039999999997
gamma_a,gamma_l,0.3,9.24,58.056632238339375,0.39089039999999997
gamma_a,gamma_l,0.3,11.18,70.24601173426777,0.39089039999999997
gamma_a,gamma_l,0.3,12.36,77.66017039673969,0.39089039999999997
gamma_a,gamma_l,0.3,14.32,89.97521359881168,0.39089039999999997
gamma_a,gamma_l,0.3,14.49,91.0433551010322,0.39089039999999997
gamma_a,gamma_l,0.3,15.81,99.33715970650925,0.39089039999999997
gamma_a,gamma_l,0.3,15.91,99.96547823722722,0.39089039999999997
gamma_a,gamma_l,0.3,16.73,105.11769018911448,0.39089039999999997
gamma_a,gamma_l,0.3,17.33,108.88760137342221,0.39089039999999997
gamma_a,gamma_l,0.3,19.27,121.07698086935062,0.39089039999999997
gamma_a,gamma_l,0.3,20.1,126.29202467430969,0.39089039999999997
gamma_a,gamma_l,0.3,22.3,140.11503235010477,0.39089039999999997
gamma_a,gamma_l,0.3,23.01,144.57609391820228,0.39089039999999997
gamma_a,gamma_l,0.35,5.16,32.421236185046666,0.4560387999999999
gamma_a,gamma_l,0.35,8.86,55.66902182161113,0.4560387999999999
gamma_a,gamma_l,0.35,9.51,59.753092271277865,0.4560387999999999
gamma_a,gamma_l,0.35,5.21,32.73539545040565,0.4560387999999999
gamma_a,gamma_l,0.35,8.22,51.647783225016205,0.4560387999999999
gamma_a,gamma_l,0.4,5.8,36.4424747816416,0.5211872
gamma_a,gamma_l,0.4,8.36,52.527429168021335,0.5211872
gamma_a,gamma_l,0.4,9.8,61.57521601035995,0.5211872
gamma_a,gamma_l,0.4,10.79,67.79556946446773,0.5211872
gamma_a,gamma_l,0.4,11.3,70.99999397112933,0.5211872
gamma_a,gamma_l,0.4,12.92,81.17875416876025,0.5211872
gamma_a,gamma_l,0.4,12.95,81.36724972797563,0.5211872
gamma_a,gamma_l,0.4,14.38,90.35220471724246,0.5211872
gamma_a,gamma_l,0.4,15.93,100.0911419433708,0.5211872
gamma_a,gamma_l,0.4,17.17,107.8822917242735,0.5211872
gamma_a,gamma_l,0.4,18.75,117.80972450961724,0.5211872
gamma_a,gamma_l,0.4,20.0,125.66370614359172,0.5211872
gamma_a,gamma_l,0.4,22.67,142.43981091376122,0.5211872
gamma_a,gamma_l,0.4,25.01,157.14246453256146,0.5211872
gamma_a,gamma_l,0.4,5.84,36.69380219392878,0.5211872
gamma_a,gamma_l,0.4,7.88,49.51150022057514,0.5211872
gamma_a,gamma_l,0.4,8.69,54.600880319390605,0.5211872
gamma_a,gamma_l,0.4,11.08,69.61769320354982,0.5211872
gamma_a,gamma_l,0.4,12.49,78.47698448667303,0.5211872
gamma_a,gamma_l,0.4,13.89,87.27344391672446,0.5211872
gamma_a,gamma_l,0.4,14.24,89.47255877423731,0.5211872
gamma_a,gamma_l,0.4,14.87,93.43096551776044,0.5211872
gamma_a,gamma_l,0.4,15.95,100.2168056495144,0.5211872
gamma_a,gamma_l,0.4,16.21,101.8504338293811,0.5211872
gamma_a,gamma_l,0.4,17.43,109.51591990414019,0.5211872
gamma_a,gamma_l,0.4,19.17,120.44866233863267,0.5211872
gamma_a,gamma_l,0.4,19.97,125.47521058437633,0.5211872
gamma_a,gamma_l,0.4,22.56,141.74866052997146,0.5211872
gamma_a,gamma_l,0.4,23.77,149.35131475165875,0.5211872
gamma_a,gamma_l,0.45,6.38,40.08672225980576,0.5863356
gamma_a,gamma_l,0.45,7.82,49.134509102144364,0.5863356
gamma_a,gamma_l,0.45,9.88,62.077870834934316,0.5863356
gamma_a,gamma_l,0.45,11.03,69.30353393819084,0.5863356
gamma_a,gamma_l,0.45,11.79,74.07875477164731,0.5863356
gamma_a,gamma_l,0.45,6.45,40.52654523130833,0.5863356
gamma_a,gamma_l,0.45,7.49,47.0610579507751,0.5863356
gamma_a,gamma_l,0.5,6.94,43.60530603182633,0.651484
gamma_a,gamma_l,0.5,7.39,46.43273942005714,0.651484
gamma_a,gamma_l,0.5,9.19,57.742472972980394,0.651484
gamma_a,gamma_l,0.5,11.18,70.24601173426777,0.651484
gamma_a,gamma_l,0.5,12.17,76.46636518837556,0.651484
gamma_a,gamma_l,0.5,13.45,84.50884238156543,0.651484
gamma_a,gamma_l,0.5,13.76,86.4566298267911,0.651484
gamma_a,gamma_l,0.5,14.6,91.73450548482195,0.651484
gamma_a,gamma_l,0.5,15.97,100.342469355658,0.651484
gamma_a,gamma_l,0.5,17.48,109.83007916949917,0.651484
gamma_a,gamma_l,0.5,18.97,119.19202527719675,0.651484
gamma_a,gamma_l,0.5,20.03,125.85220170280712,0.651484
gamma_a,gamma_l,0.5,22.67,142.43981091376122,0.651484
gamma_a,gamma_l,0.5,24.28,152.55573925832036,0.651484
gamma_d,x_gamma,0.05,1.17,7.351326809400115,1.9652618
gamma_d,x_gamma,0.05,1.74,10.93274243449248,1.9652618
gamma_d,x_gamma,0.05,11.01,69.17787023204724,1.9652618
gamma_d,x_gamma,0.05,11.51,72.31946288563704,1.9652618
gamma_d,x_gamma,0.05,17.32,108.82476952035043,1.9652618
gamma_d,x_gamma,0.05,18.38,115.48494594596079,1.9652618
gamma_d,x_gamma,0.05,19.46,122.27078607771476,1.9652618
gamma_d,x_gamma,0.05,22.65,142.31414720761762,1.9652618
gamma_d,x_gamma,0.05,9.13,57.36548185454963,1.9652618
gamma_d,x_gamma,0.05,11.24,70.62300285269855,1.9652618
gamma_d,x_gamma,0.05,20.66,129.81060844633026,1.9652618
gamma_d,x_gamma,0.1,2.18,13.697343969651499,1.8916736
gamma_d,x_gamma,0.1,3.23,20.294688542190062,1.8916736
gamma_d,x_gamma,0.1,11.53,72.44512659178062,1.8916736
gamma_d,x_gamma,0.1,17.37,109.13892878570942,1.8916736
gamma_d,x_gamma,0.1,18.26,114.73096370909926,1.8916736
gamma_d,x_gamma,0.1,19.6,123.1504320207199,1.8916736
gamma_d,x_gamma,0.1,22.59,141.93715608918686,1.8916736
gamma_d,x_gamma,0.1,26.71,167.82387955476676,1.8916736
gamma_d,x_gamma,0.1,9.06,56.925658883047056,1.8916736
gamma_d,x_gamma,0.1,10.99,69.05220652590366,1.8916736
gamma_d,x_gamma,0.1,13.88,87.21061206365266,1.8916736
gamma_d,x_gamma,0.1,15.66,98.39468191043233,1.8916736
gamma_d,x_gamma,0.1,17.36,109.07609693263761,1.8916736
gamma_d,x_gamma,0.1,19.34,121.5168038408532,1.8916736
gamma_d,x_gamma,0.1,20.44,128.42830767875074,1.8916736
gamma_d,x_gamma,0.1,22.59,141.93715608918686,1.8916736
gamma_d,x_gamma,0.1,22.93,144.0734390936279,1.8916736
gamma_d,x_gamma,0.15,3.0,18.84955592153876,1.8180854
gamma_d,x_gamma,0.15,4.68,29.40530723760046,1.8180854
gamma_d,x_gamma,0.15,11.53,72.44512659178062,1.8180854
gamma_d,x_gamma,0.15,17.11,107.50530060584272,1.8180854
gamma_d,x_gamma,0.15,18.07,113.53715850073513,1.8180854
gamma_d,x_gamma,0.15,19.68,123.65308684529425,1.8180854
gamma_d,x_gamma,0.15,8.93,56.108844793113704,1.8180854
gamma_d,x_gamma,0.15,10.8,67.85840131753953,1.8180854
gamma_d,x_gamma,0.2,3.93,24.692918257215776,1.7444972
gamma_d,x_gamma,0.2,6.01,37.76194369614931,1.7444972
gamma_d,x_gamma,0.2,11.5,72.25663103256524,1.7444972
gamma_d,x_gamma,0.2,17.6,110.58406140636073,1.7444972
gamma_d,x_gamma,0.2,18.09,113.66282220687872,1.7444972
gamma_d,x_gamma,0.2,20.14,126.54335208659687,1.7444972
gamma_d,x_gamma,0.2,22.58,141.87432423611506,1.7444972
gamma_d,x_gamma,0.2,26.41,165.93892396261288,1.7444972
gamma_d,x_gamma,0.2,8.83,55.48052626239575,1.7444972
gamma_d,x_gamma,0.2,10.7,67.23008278682157,1.7444972
gamma_d,x_gamma,0.2,14.14,88.84424024351935,1.7444972
gamma_d,x_gamma,0.2,15.41,96.82388558363742,1.7444972
gamma_d,x_gamma,0.2,16.08,101.03361973944773,1.7444972
gamma_d,x_gamma,0.2,17.93,112.65751255772997,1.7444972
